College,SAT,Acceptance Rate,Earnings 6 yrs after entry,Share First Generation,Retention Rate,Student Faculty Ratio,Mean Net Price,Diversity,Students with Loans,Faculty Salary
Abilene Christian University,1186,0.7011,45389,0.2445229682,0.7923,13,29300,0.36589999999999995,0.9133646743,8455
Abraham Baldwin Agricultural College,1026,0.7536,29825,0.3443449048,0.6515,19,7203,0.19830000000000003,0.7127605491,6436
Academy of Art University,,,31825,0.4083701586,0.6899,14,32736,0.7945,0.9173423423,9482
Adams State University,1040,0.9983,36129,0.4151309408,0.5924,11,14305,0.6084999999999999,0.8017467249,6465
Adelphi University,1200,0.7746,60750,0.354206501,0.8296,12,28993,0.5436,0.8979148566,12326
Adler Graduate School,,,,,,,,0.0,,6452
Adler University,,,,,,,,0.0,,8793
Adrian College,,,18422,0.619047619,0.4808,44,19911,0.6469,0.9011857708,
AdventHealth University,,0.9027,56663,0.3902053712,0.5429,6,25760,0.6691,0.8462623413,8241
Agnes Scott College,,0.6985,38722,0.2119565217,0.8394,12,12423,0.6654,0.9075,9450
Air Force Institute of Technology,,,,,,,,0.0,,
Alabama A&M University,1300,0.7367,52360,0.3101321586,0.7899,19,17250,0.28030000000000005,0.8652155714,9820
Alabama State University,955,0.9799,26395,0.3434343434,0.6436,13,13593,0.9848999999999999,0.8889776358,7701
Alaska Bible College,,,,,1.0,5,10592,0.108,,
Alaska Pacific University,,0.9603,39274,,0.6842,8,20550,0.6944,0.8424657534,6497
Albany College of Pharmacy and Health Sciences,1295,0.7182,117456,0.2169811321,0.8034,7,26073,0.5054,,9564
Albany Law School,,,,,,,,0.0,,10089
Albany Medical College,,,,,,,,0.0,,
Albany State University,,,31698,0.3351686167,0.6509,20,14904,0.9057999999999999,0.9201706277,6397
Albertus Magnus College,,0.8173,43506,0.5338235294,0.642,14,28927,0.6696,0.9579728059,7903
Albion College,,0.6928,47094,0.2797619048,0.7353,11,18036,0.4487,0.9519774011,7315
Albright College,,0.7631,47940,0.3605263158,0.6648,11,20028,0.5593,0.9471191792,6548
Alcorn State University,1086,0.3891,27429,0.3451053284,0.7462,15,16206,0.9814999999999999,0.8852192745,6282
Alderson Broaddus University,1030,0.6653,39093,0.3605442177,0.5223,13,21244,0.45749999999999996,0.9658385093,5982
